file,doc_id,version_id,status,page_count,file_size_kb
Acts Published for the Implementation of the Constitution Corrigenda.pdf,doc_c5095730309f,v_2b308b60b512,skipped,,0.0
Adjustment of Rates for Inflation (3).pdf,doc_dc22a0bb0d41,v_f87dfad31787,skipped,,0.0
Advocates Act.pdf,doc_dacee3e10c71,v_7f22ccad09a4,skipped,,0.0
TheConstitutionOfKenya.pdf,doc_ceffc7097c61,v_a7cab3e9dbb6,skipped,,0.0
